Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Singapore Residents,"4,149,253","4,073,239","3,986,842","4,044,210","4,026,209","3,994,283","3,965,796","3,933,559","3,902,690","3,870,739","3,844,751","3,818,205","3,789,251","3,771,721","3,733,876","3,642,659","3,583,082","3,525,894","3,467,814","3,413,266","3,366,891","3,382,944","3,325,902","3,273,363","3,229,681","3,180,018","3,123,403","3,068,132","3,013,515","2,959,350","2,904,547","2,849,754","2,794,704","2,735,868","2,647,627","2,598,458","2,553,864","2,518,598","2,482,615","2,443,705","2,406,165","2,365,707","2,324,403","2,282,125"
  0 Year,"30,052","32,073","31,611","33,434","32,967","32,664","33,374","34,640","34,559","32,782","33,912","33,237","31,172","32,788","35,145","37,444","35,770","35,563","35,003","34,434","36,835","37,397","41,768","40,813","41,427","44,961","45,693","46,690","47,566","49,125","48,702","48,136","50,338","46,645","50,886","46,695","39,345","40,841","42,487","39,990","42,112","41,039","40,676","35,380"
  1 Year,"34,223","33,844","36,172","35,585","35,454","36,123","37,714","37,740","35,919","37,271","36,304","34,602","35,916","38,350","41,023","38,819","38,543","38,179","37,296","39,270","39,859","44,671","43,636","42,294","45,881","46,593","47,462","48,321","49,789","49,276","48,695","50,712","47,079","51,491","46,195","38,371","39,508","41,005","38,677","40,951","40,133","40,253","35,882","37,330"
  2 Year,"34,813","37,319","36,092","36,387","37,267","38,787","39,002","36,905","38,394","37,098","35,313","37,217","38,662","41,562","40,480","39,133","39,047","38,227","40,102","40,392","45,052","44,774","42,966","46,369","47,162","48,083","48,820","50,272","49,690","49,062","51,074","47,448","51,862","46,706","38,511","39,644","41,075","38,763","41,107","40,279","40,422","36,413","37,645","35,816"
  3 Year,"38,149","37,204","36,644","37,823","39,428","39,727","37,738","39,141","38,108","35,890","37,847","39,509","41,662","40,869","40,522","39,386","38,895","40,843","41,046","45,593","44,793","43,567","46,841","47,518","48,506","49,281","50,711","50,159","49,401","51,354","47,827","52,204","47,022","38,982","39,789","41,183","38,859","41,191","40,405","40,558","36,909","37,930","36,083","38,649"
  4 Year,"38,031","37,645","37,916","39,847","40,239","38,227","39,825","38,734","36,595","38,328","39,919","42,108","40,837","40,863","40,618","39,107","41,371","41,667","46,082","45,130","43,364","47,389","47,780","48,711","49,638","51,154","50,574","49,707","51,644","48,205","52,473","47,251","39,218","40,225","41,306","38,974","41,282","40,456","40,672","37,370","38,182","36,329","38,852","38,665"
  5 Year,"38,518","38,874","39,696","40,464","38,675","40,338","39,291","37,071","38,878","40,150","42,183","41,166","40,922","40,915","40,130","41,610","42,138","46,577","45,621","43,657","46,678","48,340","49,164","49,839","51,492","51,054","50,003","51,952","48,595","52,742","47,438","39,472","40,526","41,755","39,159","41,551","40,694","40,885","37,739","38,369","36,539","39,098","38,777","39,098"
  6 Year,"39,702","40,700","40,256","39,002","40,817","39,717","37,574","39,391","40,551","42,433","41,212","41,091","40,932","40,472","42,534","42,423","47,233","46,223","44,246","47,511","48,038","49,887","50,347","51,680","51,343","50,297","52,286","48,974","53,006","47,634","39,655","40,737","42,043","39,527","41,642","40,752","40,927","38,172","38,592","36,752","39,308","38,877","39,286","42,551"
  7 Year,"41,554","41,162","38,767","40,966","40,079","37,865","39,756","40,893","42,589","41,285","41,077","41,011","40,447","42,698","43,199","47,585","46,605","44,763","48,078","48,711","49,829","50,830","52,138","51,543","50,470","52,632","49,351","53,204","47,811","39,839","40,884","42,242","39,738","41,980","40,789","40,978","38,602","38,796","36,952","39,498","38,954","39,459","42,735","45,961"
  8 Year,"41,975","39,490","40,395","40,230","38,047","39,996","41,068","42,721","41,338","41,068","40,844","40,457","42,593","43,291","48,195","46,780","44,997","48,384","49,014","50,004","50,526","52,355","51,578","50,548","52,851","49,729","53,473","47,997","39,988","41,032","42,399","39,879","42,196","41,064","41,024","39,032","38,999","37,135","39,683","39,016","39,605","42,907","46,112","44,654"
