"financial_year","actual_revised_estimated","type","category","class","amount"
1997,"Actual","Operating","Running Cost","Expenditure on Manpower",3063
1998,"Actual","Operating","Running Cost","Expenditure on Manpower",2896
1999,"Actual","Operating","Running Cost","Expenditure on Manpower",2872
2000,"Actual","Operating","Running Cost","Expenditure on Manpower",3276
2001,"Actual","Operating","Running Cost","Expenditure on Manpower",3351
2002,"Actual","Operating","Running Cost","Expenditure on Manpower",3370
2003,"Actual","Operating","Running Cost","Expenditure on Manpower",3375
2004,"Actual","Operating","Running Cost","Expenditure on Manpower",3535
2005,"Actual","Operating","Running Cost","Expenditure on Manpower",3629
2006,"Actual","Operating","Running Cost","Expenditure on Manpower",3914
2007,"Actual","Operating","Running Cost","Expenditure on Manpower",4736
2008,"Actual","Operating","Running Cost","Expenditure on Manpower",4677
2009,"Actual","Operating","Running Cost","Expenditure on Manpower",4765
2010,"Actual","Operating","Running Cost","Expenditure on Manpower",5857
2011,"Actual","Operating","Running Cost","Expenditure on Manpower",5668
2012,"Actual","Operating","Running Cost","Expenditure on Manpower",6231
2013,"Actual","Operating","Running Cost","Expenditure on Manpower",6844
2014,"Actual","Operating","Running Cost","Expenditure on Manpower",7409
2015,"Actual","Operating","Running Cost","Expenditure on Manpower",8010
2016,"Actual","Operating","Running Cost","Expenditure on Manpower",8345
2017,"Actual","Operating","Running Cost","Expenditure on Manpower",8865
2018,"Actual","Operating","Running Cost","Expenditure on Manpower",9227
2019,"Actual","Operating","Running Cost","Expenditure on Manpower",8946
2020,"Revised","Operating","Running Cost","Expenditure on Manpower",8952
2021,"Estimated","Operating","Running Cost","Expenditure on Manpower",9814
1997,"Actual","Operating","Running Cost","Other Operating Expenditure",7586
1998,"Actual","Operating","Running Cost","Other Operating Expenditure",8215
1999,"Actual","Operating","Running Cost","Other Operating Expenditure",8469
2000,"Actual","Operating","Running Cost","Other Operating Expenditure",8740
2001,"Actual","Operating","Running Cost","Other Operating Expenditure",9302
2002,"Actual","Operating","Running Cost","Other Operating Expenditure",9824
2003,"Actual","Operating","Running Cost","Other Operating Expenditure",9878
2004,"Actual","Operating","Running Cost","Other Operating Expenditure",10222
2005,"Actual","Operating","Running Cost","Other Operating Expenditure",11001
2006,"Actual","Operating","Running Cost","Other Operating Expenditure",11835
2007,"Actual","Operating","Running Cost","Other Operating Expenditure",12763
2008,"Actual","Operating","Running Cost","Other Operating Expenditure",13537
2009,"Actual","Operating","Running Cost","Other Operating Expenditure",13974
2010,"Actual","Operating","Running Cost","Other Operating Expenditure",14067
2011,"Actual","Operating","Running Cost","Other Operating Expenditure",14318
2012,"Actual","Operating","Running Cost","Other Operating Expenditure",14644
2013,"Actual","Operating","Running Cost","Other Operating Expenditure",15216
2014,"Actual","Operating","Running Cost","Other Operating Expenditure",16097
2015,"Actual","Operating","Running Cost","Other Operating Expenditure",17505
2016,"Actual","Operating","Running Cost","Other Operating Expenditure",18389
2017,"Actual","Operating","Running Cost","Other Operating Expenditure",18897
2018,"Actual","Operating","Running Cost","Other Operating Expenditure",19615
2019,"Actual","Operating","Running Cost","Other Operating Expenditure",20264
2020,"Revised","Operating","Running Cost","Other Operating Expenditure",26605
2021,"Estimated","Operating","Running Cost","Other Operating Expenditure",25886
1997,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",2378
1998,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",2248
1999,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",2247
2000,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",3031
2001,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",3735
2002,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",3858
2003,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",4042
2004,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",4039
2005,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",4244
2006,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",3918
2007,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",4211
2008,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",4868
2009,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",5493
2010,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",5986
2011,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",6747
2012,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",6654
2013,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",7066
2014,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",7916
2015,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",9419
2016,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",10558
2017,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",12560
2018,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",13042
2019,"Actual","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",13447
2020,"Revised","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",19706
2021,"Estimated","Operating","Running Cost","Grants, Subventions & Capital Injections to Organisations",22142
1997,"Actual","Operating","Transfers","Social Transfers",200
1998,"Actual","Operating","Transfers","Social Transfers",228
1999,"Actual","Operating","Transfers","Social Transfers",295
2000,"Actual","Operating","Transfers","Social Transfers",309
2001,"Actual","Operating","Transfers","Social Transfers",394
2002,"Actual","Operating","Transfers","Social Transfers",491
2003,"Actual","Operating","Transfers","Social Transfers",457
2004,"Actual","Operating","Transfers","Social Transfers",485
2005,"Actual","Operating","Transfers","Social Transfers",546
2006,"Actual","Operating","Transfers","Social Transfers",611
2007,"Actual","Operating","Transfers","Social Transfers",665
2008,"Actual","Operating","Transfers","Social Transfers",1134
2009,"Actual","Operating","Transfers","Social Transfers",1409
2010,"Actual","Operating","Transfers","Social Transfers",1483
2011,"Actual","Operating","Transfers","Social Transfers",1690
2012,"Actual","Operating","Transfers","Social Transfers",1910
2013,"Actual","Operating","Transfers","Social Transfers",2382
2014,"Actual","Operating","Transfers","Social Transfers",2543
2015,"Actual","Operating","Transfers","Social Transfers",3093
2016,"Actual","Operating","Transfers","Social Transfers",4124
2017,"Actual","Operating","Transfers","Social Transfers",4046
2018,"Actual","Operating","Transfers","Social Transfers",3916
